ate = 0.076771
stamp2            x2        y2       z2
1305031098.665900 -0.034760 0.020390 -0.066472
1305031098.675800 -0.035011 0.020675 -0.063667
1305031098.685800 -0.035350 0.021163 -0.060966
1305031098.695900 -0.035737 0.021335 -0.057880
1305031098.705800 -0.035889 0.021620 -0.055063
1305031098.715800 -0.036262 0.022137 -0.052083
1305031098.725800 -0.036657 0.022387 -0.048935
1305031098.735900 -0.037043 0.022700 -0.045863
1305031098.745900 -0.037500 0.023062 -0.043021
1305031098.755900 -0.037992 0.023453 -0.039899
1305031098.765800 -0.038622 0.023590 -0.036482
1305031098.775800 -0.039129 0.024276 -0.033249
1305031098.785800 -0.039981 0.024646 -0.029669
1305031098.795900 -0.040707 0.025065 -0.026293
1305031098.805800 -0.041195 0.025737 -0.023200
1305031098.815800 -0.042102 0.026009 -0.019186
1305031098.825800 -0.042698 0.026758 -0.016043
1305031098.835800 -0.043503 0.027171 -0.012031
1305031098.845800 -0.044209 0.027584 -0.008008
1305031098.855800 -0.045349 0.027884 -0.003740
1305031098.865800 -0.046175 0.028943 -0.000370
1305031098.875900 -0.047240 0.029476 0.004098
1305031098.886000 -0.048197 0.029931 0.008515
1305031098.895800 -0.049014 0.030780 0.012624
1305031098.905800 -0.049845 0.031285 0.016838
1305031098.915800 -0.051143 0.031846 0.021560
1305031098.925900 -0.052105 0.032660 0.026012
1305031098.935900 -0.052922 0.033509 0.030121
1305031098.945900 -0.053900 0.034478 0.034699
1305031098.955900 -0.055170 0.034956 0.040006
1305031098.965900 -0.055904 0.035960 0.044253
1305031098.975800 -0.057029 0.036613 0.049202
1305031098.985800 -0.057798 0.037645 0.053728
1305031098.995800 -0.058805 0.038424 0.058536
1305031099.005900 -0.059595 0.039190 0.063230
1305031099.015900 -0.060142 0.039990 0.067592
1305031099.025900 -0.061283 0.040797 0.072667
1305031099.035900 -0.061756 0.041689 0.077245
1305031099.045900 -0.062688 0.042560 0.082268
1305031099.055900 -0.063370 0.043389 0.086897
1305031099.065900 -0.064040 0.044421 0.091435
1305031099.075900 -0.064926 0.045468 0.096088
1305031099.085900 -0.065617 0.046233 0.100794
1305031099.095900 -0.066487 0.047125 0.105321
1305031099.105900 -0.067151 0.047939 0.109811
1305031099.115900 -0.067904 0.048816 0.114211
1305031099.125900 -0.068660 0.049553 0.118626
1305031099.135900 -0.069215 0.050431 0.123051
1305031099.145900 -0.069861 0.051231 0.127401
1305031099.155900 -0.070426 0.052045 0.131903
1305031099.167700 -0.071088 0.053000 0.136378
1305031099.175900 -0.071552 0.053955 0.140879
1305031099.185900 -0.072025 0.054846 0.145456
1305031099.195900 -0.072382 0.055724 0.149906
1305031099.205900 -0.072845 0.056679 0.154406
1305031099.215900 -0.073319 0.057571 0.158983
1305031099.225900 -0.073640 0.058420 0.163154
