ate = 0.014981
stamp1 x1 y1 z1 stamp2 x2 y2 z2
1305031109.543294 0.000000 0.000000 0.000000 1305031109.545800 0.011082 -0.002919 -0.004568
1305031109.611310 -0.027064 0.006067 -0.004563 1305031109.615800 -0.016697 -0.000523 -0.008818
1305031109.643229 -0.037366 0.008237 -0.005833 1305031109.645700 -0.027936 0.001069 -0.010076
1305031110.743249 -0.407269 0.051286 0.015541 1305031110.745700 -0.422308 0.054324 0.015984
1305031111.079283 -0.380443 0.060929 0.020553 1305031111.075700 -0.400109 0.056535 0.020097
1305031112.311312 0.088134 -0.013441 0.039583 1305031112.315700 0.100270 -0.008518 0.034591
1305031112.511504 0.151894 -0.014485 0.035029 1305031112.515700 0.171644 -0.018332 0.032549
1305031112.743245 0.207762 0.000861 0.035805 1305031112.745700 0.221993 -0.015816 0.036319
1305031113.179343 0.111147 -0.001728 0.034264 1305031113.175700 0.130526 -0.005813 0.030342
1305031114.779289 -0.458548 0.021255 0.046275 1305031114.775700 -0.476432 0.023627 0.046897
1305031114.979280 -0.431582 0.034317 0.047043 1305031114.975700 -0.452770 0.031265 0.049172
1305031116.379384 0.140166 0.001417 0.119942 1305031116.375700 0.155568 0.013065 0.119279
1305031116.643355 0.123415 -0.001219 0.095478 1305031116.645700 0.119129 0.012533 0.104640
1305031118.511255 -0.177555 -0.210237 0.169690 1305031118.515600 -0.181954 -0.228497 0.174422
1305031120.179246 -0.168553 0.224128 0.041264 1305031120.175600 -0.171057 0.234665 0.039230
1305031120.479432 -0.165270 0.141707 0.060716 1305031120.475600 -0.169087 0.154862 0.058004
1305031121.714520 -0.183258 -0.196579 0.148332 1305031121.715600 -0.190450 -0.211980 0.150997
1305031123.551513 -0.164279 0.255000 0.053097 1305031123.555600 -0.163460 0.257678 0.052931
1305031123.883786 -0.154416 0.287081 0.046217 1305031123.885500 -0.153554 0.299979 0.046860
1305031124.382420 -0.156673 0.177994 0.071459 1305031124.385600 -0.158618 0.186507 0.070075
1305031124.749890 -0.163565 0.048146 0.091808 1305031124.745500 -0.166043 0.054518 0.090776
1305031125.379401 -0.175531 -0.140813 0.158795 1305031125.375600 -0.186367 -0.150312 0.161211
1305031126.879357 -0.144903 0.168532 0.090447 1305031126.876000 -0.146199 0.168444 0.092803
1305031127.847366 -0.152218 0.126333 0.105378 1305031127.845600 -0.153132 0.128131 0.108574
1305031128.479296 -0.155499 0.112079 0.116975 1305031128.475500 -0.155511 0.112377 0.121007
