ate = 0.011137
stamp1 		  x1 	   y1 	    z1 	     stamp2            x2       y2        z2
1305031102.175304 0.000000 0.000000 0.000000 1305031102.175800 0.007975 -0.003741 0.001872
1305031103.143318 -0.018768 0.063773 0.336510 1305031103.145900 -0.017804 0.063081 0.339919
1305031104.375837 0.010374 -0.036126 0.031762 1305031104.375800 0.006184 -0.031770 0.032528
1305031105.975329 -0.001913 0.024343 0.295216 1305031105.975800 -0.002676 0.017052 0.298862
1305031106.211275 -0.010284 0.045863 0.372350 1305031106.215800 -0.007182 0.046161 0.376188
1305031106.475345 -0.015633 0.053459 0.393726 1305031106.475800 -0.011713 0.057033 0.394990
1305031107.611271 0.021282 -0.031758 0.004687 1305031107.615800 0.021744 -0.036083 0.005812
1305031108.011320 0.050677 -0.025474 0.031080 1305031108.015900 0.045806 -0.020691 0.031746
1305031108.243347 0.136345 -0.025492 0.055600 1305031108.245800 0.128852 -0.021217 0.056971
1305031108.475471 0.215503 -0.009242 0.079444 1305031108.475800 0.212719 -0.010642 0.078180
1305031108.775493 0.323126 -0.001094 0.090124 1305031108.775800 0.320597 -0.002064 0.090136
1305031109.243290 0.243090 0.008801 0.072025 1305031109.245700 0.258017 0.001281 0.069560
1305031110.711412 -0.301485 0.035912 0.076609 1305031110.715700 -0.301841 0.040007 0.077222
1305031111.179326 -0.252852 0.052316 0.094810 1305031111.175700 -0.255999 0.042546 0.081720
1305031111.479259 -0.125791 0.027459 0.097196 1305031111.476000 -0.145531 0.034053 0.086600
1305031111.779423 0.009640 0.018929 0.091506 1305031111.775700 -0.009007 0.022942 0.090248
1305031112.144342 0.159462 0.010860 0.086578 1305031112.145700 0.144965 0.016021 0.096512
1305031112.743245 0.341344 0.016694 0.096903 1305031112.745700 0.340411 0.005612 0.098472
1305031113.043231 0.280944 0.013924 0.103998 1305031113.045800 0.294483 0.013914 0.100318
1305031114.379320 -0.285519 0.011970 0.103980 1305031114.375700 -0.283286 0.015069 0.104022
1305031114.679251 -0.357471 0.005845 0.108454 1305031114.675700 -0.353159 0.009954 0.112280
1305031115.111230 -0.289560 0.035051 0.129424 1305031115.115700 -0.293003 0.024494 0.121499
1305031116.243320 0.248701 0.027362 0.184013 1305031116.245700 0.237800 0.036137 0.182706
1305031116.811318 0.145440 0.027204 0.159440 1305031116.815600 0.156398 0.031770 0.155426
1305031117.179264 -0.032474 0.052958 0.138660 1305031117.175600 -0.017068 0.053525 0.143715
1305031118.243173 -0.058009 -0.179281 0.231640 1305031118.245600 -0.054586 -0.172828 0.229537
1305031119.579559 -0.053271 0.106196 0.109812 1305031119.575600 -0.054574 0.099318 0.112981
1305031119.911401 -0.063589 0.208072 0.091678 1305031119.915500 -0.061458 0.206829 0.093773
1305031121.347517 -0.057707 -0.106170 0.199413 1305031121.345600 -0.055304 -0.101446 0.199707
1305031121.683200 -0.061204 -0.194286 0.229709 1305031121.685600 -0.060588 -0.196619 0.226843
1305031122.314289 -0.066333 -0.111998 0.204111 1305031122.315600 -0.058247 -0.124343 0.210288
1305031123.214704 -0.068194 0.162877 0.105358 1305031123.215500 -0.069066 0.158736 0.107788
1305031123.579583 -0.061520 0.266070 0.096374 1305031123.575500 -0.058201 0.263554 0.097508
1305031124.480099 -0.049009 0.141563 0.128279 1305031124.475600 -0.050320 0.158936 0.124541
