stamp1		  x1 	   y1 	    z1 	     stamp2 	       x2 	 y2 	   z2
1305031105.175159 0.000000 0.000000 0.000000 1305031105.175800 -0.016311 -0.058764 -0.084238
1305031105.211268 -0.002690 -0.003961 0.006578 1305031105.215900 -0.020248 -0.055731 -0.067360
1305031105.243270 -0.004406 -0.001825 0.011945 1305031105.245800 -0.023825 -0.053134 -0.054631
1305031108.111378 0.032356 -0.005013 0.035222 1305031108.115800 0.044370 -0.041204 -0.004716
1305031108.575414 0.105445 0.006314 0.055108 1305031108.575900 0.214041 -0.025078 0.041451
1305031109.043277 0.125648 0.006055 0.055154 1305031109.045800 0.286436 -0.021813 0.036138
1305031112.679952 0.134863 0.010330 0.061847 1305031112.675800 0.294753 -0.015017 0.057371
1305031112.911411 0.124780 0.015443 0.065786 1305031112.915700 0.289199 -0.002569 0.063861
1305031113.511523 0.024505 0.009970 0.052654 1305031113.515700 0.044362 -0.018721 0.039464
1305031116.243320 0.097854 0.025261 0.097568 1305031116.245700 0.197332 0.027825 0.136843
1305031116.543262 0.106222 0.023842 0.092441 1305031116.545600 0.229407 0.025772 0.125331
1305031120.179246 -0.032986 0.107987 0.041435 1305031120.175600 -0.098709 0.219222 0.008922
1305031120.514819 -0.031982 0.067603 0.058623 1305031120.515600 -0.093902 0.131137 0.047715
1305031121.782835 -0.034300 -0.074802 0.124085 1305031121.785600 -0.105523 -0.216512 0.199537
1305031122.047306 -0.034626 -0.072854 0.125006 1305031122.045600 -0.102566 -0.213138 0.203983
1305031123.451255 -0.032552 0.110831 0.046590 1305031123.455500 -0.096736 0.219269 0.024983
1305031123.783858 -0.027543 0.131704 0.039799 1305031123.785600 -0.084632 0.286509 0.009043
1305031124.083837 -0.029367 0.127602 0.043432 1305031124.085500 -0.085584 0.256793 0.017496
1305031125.479424 -0.031463 -0.052531 0.127368 1305031125.475600 -0.105872 -0.159286 0.202149
1305031125.911305 -0.035510 -0.032094 0.108178 1305031125.915500 -0.100115 -0.118789 0.172727
1305031127.047297 -0.022016 0.087875 0.065552 1305031127.045500 -0.070120 0.167115 0.068094
1305031127.747304 -0.024453 0.071126 0.077351 1305031127.745500 -0.077974 0.129210 0.094837
1305031128.347423 -0.025573 0.065791 0.083515 1305031128.345500 -0.079670 0.115120 0.110333
1305031128.679282 -0.026662 0.061685 0.083371 1305031128.675500 -0.082570 0.108120 0.109272
