ate = 0.011636
stamp2  	  x2 	   y2       z2
1305031098.665900 0.013948 0.018962 0.002424
1305031098.675800 0.013859 0.019264 0.005237
1305031098.685800 0.013685 0.019773 0.007950
1305031098.695900 0.013470 0.019970 0.011051
1305031098.705800 0.013481 0.020268 0.013870
1305031098.715800 0.013287 0.020808 0.016864
1305031098.725800 0.013072 0.021082 0.020027
1305031098.735900 0.012864 0.021419 0.023113
1305031098.745900 0.012574 0.021807 0.025974
1305031098.755900 0.012265 0.022226 0.029116
1305031098.765800 0.011824 0.022398 0.032561
1305031098.775800 0.011519 0.023113 0.035813
1305031098.785800 0.010874 0.023527 0.039431
1305031098.795900 0.010347 0.023984 0.042839
1305031098.805800 0.010051 0.024684 0.045951
1305031098.815800 0.009372 0.025003 0.050005
1305031098.825800 0.008975 0.025784 0.053172
1305031098.835800 0.008402 0.026240 0.057219
1305031098.845800 0.007929 0.026692 0.061272
1305031098.855800 0.007032 0.027049 0.065593
1305031098.865800 0.006430 0.028150 0.068997
1305031098.875900 0.005627 0.028738 0.073512
1305031098.886000 0.004926 0.029243 0.077972
1305031098.895800 0.004364 0.030136 0.082115
1305031098.905800 0.003780 0.030685 0.086364
1305031098.915800 0.002760 0.031311 0.091146
1305031098.925900 0.002070 0.032175 0.095639
1305031098.935900 0.001508 0.033068 0.099781
1305031098.945900 0.000815 0.034088 0.104399
1305031098.955900 -0.000150 0.034631 0.109765
1305031098.965900 -0.000616 0.035675 0.114039
1305031098.975800 -0.001448 0.036386 0.119038
1305031098.985800 -0.001932 0.037461 0.123594
1305031098.995800 -0.002649 0.038294 0.128445
1305031099.005900 -0.003156 0.039103 0.133170
1305031099.015900 -0.003437 0.039937 0.137551
1305031099.025900 -0.004272 0.040804 0.142676
1305031099.035900 -0.004464 0.041726 0.147267
1305031099.045900 -0.005092 0.042648 0.152329
1305031099.055900 -0.005491 0.043516 0.156983
1305031099.065900 -0.005877 0.044587 0.161546
1305031099.075900 -0.006471 0.045682 0.166234
1305031099.085900 -0.006878 0.046487 0.170966
1305031099.095900 -0.007469 0.047426 0.175529
1305031099.105900 -0.007860 0.048278 0.180044
1305031099.115900 -0.008342 0.049197 0.184473
1305031099.125900 -0.008830 0.049976 0.188918
1305031099.135900 -0.009113 0.050888 0.193362
1305031099.145900 -0.009494 0.051725 0.197736
1305031099.155900 -0.009784 0.052574 0.202258
1305031099.167700 -0.010168 0.053567 0.206757
1305031099.175900 -0.010352 0.054553 0.211271
1305031099.185900 -0.010545 0.055475 0.215863
1305031099.195900 -0.010628 0.056379 0.220321
1305031099.205900 -0.010812 0.057364 0.224835
1305031099.215900 -0.011005 0.058287 0.229426
1305031099.225900 -0.011069 0.059160 0.233604
1305031099.235900 -0.011152 0.060064 0.238062
1305031099.245900 -0.011318 0.061018 0.242296
1305031099.255900 -0.011292 0.061903 0.246621
1305031099.265900 -0.011465 0.062795 0.250932
1305031099.275800 -0.011430 0.063664 0.255117
1305031099.285900 -0.011586 0.064604 0.259210
1305031099.295900 -0.011543 0.065535 0.263317
1305031099.306000 -0.011505 0.066249 0.267377
1305031099.315900 -0.011648 0.067017 0.271204
1305031099.325900 -0.011495 0.067851 0.275116
1305031099.335900 -0.011455 0.068487 0.279112
1305031099.345900 -0.011289 0.069150 0.282758
1305031099.355800 -0.011124 0.069892 0.286467
1305031099.365900 -0.010991 0.070383 0.290486
1305031099.375800 -0.010917 0.071112 0.294047
1305031099.386000 -0.010749 0.071698 0.297630
1305031099.395900 -0.010596 0.072081 0.301306
1305031099.405900 -0.010522 0.072810 0.304867
1305031099.415900 -0.010155 0.073388 0.308464
1305031099.425900 -0.009967 0.073865 0.311704
1305031099.435900 -0.009683 0.074572 0.315139
1305031099.446000 -0.009505 0.075064 0.318519
1305031099.455900 -0.009334 0.075494 0.321977
1305031099.465900 -0.009240 0.076115 0.325195
1305031099.475900 -0.008935 0.076636 0.328224
1305031099.485800 -0.008853 0.076976 0.331472
1305031099.495900 -0.008668 0.077609 0.334837
1305031099.505900 -0.008264 0.078203 0.337936
1305031099.516600 -0.008159 0.078732 0.340951
1305031099.525900 -0.007855 0.079330 0.344043
1305031099.535900 -0.007666 0.079729 0.347220
1305031099.546000 -0.007427 0.080426 0.349870
1305031099.555900 -0.007138 0.080821 0.353054
1305031099.565900 -0.006943 0.081439 0.356279
1305031099.575900 -0.006738 0.081963 0.359301
1305031099.585900 -0.006417 0.082608 0.362175
1305031099.595900 -0.006113 0.083207 0.365267
1305031099.605900 -0.005897 0.083638 0.368086
1305031099.615900 -0.005485 0.084295 0.371108
1305031099.625900 -0.005062 0.084781 0.373863
1305031099.635900 -0.004633 0.085485 0.376667
1305031099.645900 -0.004217 0.085908 0.379500
1305031099.655800 -0.003981 0.086761 0.382275
1305031099.665900 -0.003466 0.087180 0.385115
1305031099.675900 -0.003017 0.087776 0.387576
1305031099.685900 -0.002660 0.088438 0.389951
1305031099.696000 -0.002206 0.088800 0.392224
1305031099.705900 -0.001740 0.089443 0.394466
1305031099.715900 -0.001289 0.089961 0.396864
1305031099.725900 -0.000910 0.090436 0.398834
1305031099.735900 -0.000543 0.091083 0.401069
1305031099.745900 -0.000072 0.091493 0.403123
1305031099.755800 0.000415 0.092027 0.405023
1305031099.765800 0.000813 0.092472 0.406712
1305031099.775900 0.001034 0.093191 0.408217
1305031099.785900 0.001352 0.093609 0.409618
1305031099.795900 0.001782 0.093775 0.410698
1305031099.806000 0.002036 0.094214 0.411594
1305031099.815800 0.002095 0.094427 0.412288
1305031099.825900 0.002164 0.094625 0.412841
1305031099.835900 0.002245 0.094652 0.413129
1305031099.845900 0.002344 0.094648 0.413136
1305031099.855900 0.002357 0.094477 0.412871
1305031099.865900 0.002279 0.094294 0.412457
1305031099.875900 0.002334 0.094280 0.411679
1305031099.885900 0.002376 0.093985 0.410929
1305031099.895900 0.002347 0.093648 0.409752
1305031099.905900 0.002248 0.093191 0.408084
1305031099.916000 0.001933 0.092617 0.406558
1305031099.925900 0.001951 0.091751 0.404443
1305031099.935800 0.001982 0.091089 0.402236
1305031099.945900 0.001727 0.090267 0.399743
1305031099.956000 0.001377 0.089215 0.397053
1305031099.965900 0.001043 0.088289 0.394209
1305031099.975900 0.000819 0.087265 0.391169
1305031099.985900 0.000395 0.086327 0.388177
1305031099.995900 0.000092 0.085199 0.384787
1305031100.005900 -0.000302 0.084059 0.381249
1305031100.015900 -0.000602 0.082775 0.377733
1305031100.025900 -0.000884 0.081539 0.374000
1305031100.035900 -0.001350 0.080435 0.370096
1305031100.045900 -0.001848 0.079081 0.366504
1305031100.055900 -0.002112 0.077813 0.362489
1305031100.065900 -0.002473 0.076394 0.358343
1305031100.075900 -0.002945 0.075150 0.354454
1305031100.085900 -0.003084 0.073988 0.350152
1305031100.095900 -0.003349 0.072799 0.346200
1305031100.105800 -0.003615 0.071609 0.342249
1305031100.116900 -0.003771 0.070401 0.338164
1305031100.125900 -0.004218 0.069266 0.333980
1305031100.135900 -0.004268 0.068194 0.329888
1305031100.145900 -0.004607 0.067118 0.325634
