rpe = 0.103481413507
stamp_est0        stamp_est1        stamp_gt0         stamp_gt1         trans_error  rot_error
1305031124.095500 1305031121.495600 1305031124.147446 1305031121.683200 0.125928 0.037615
1305031114.095700 1305031110.905800 1305031114.711306 1305031110.979345 0.179117 0.140888
1305031122.275900 1305031107.755800 1305031121.982926 1305031108.043418 0.070972 0.081404
1305031113.055700 1305031116.265700 1305031112.611261 1305031116.143441 0.031501 0.082637
1305031126.055500 1305031128.245500 1305031126.079356 1305031128.179350 0.081189 0.010250
1305031123.065600 1305031125.825500 1305031123.382255 1305031125.711443 0.037565 0.065869
1305031107.965800 1305031120.655600 1305031108.043418 1305031120.379437 0.053901 0.101343
1305031126.155500 1305031127.755500 1305031126.079356 1305031127.647358 0.044401 0.024345
1305031113.075700 1305031124.715500 1305031112.611261 1305031124.147446 0.152552 0.226370
1305031120.355600 1305031110.725700 1305031120.379437 1305031110.979345 0.103835 0.023530
1305031108.415700 1305031124.875600 1305031108.475471 1305031124.147446 0.180477 0.174013
1305031122.855600 1305031112.195700 1305031123.382255 1305031112.611261 0.125675 0.185074
1305031113.995700 1305031126.745600 1305031114.711306 1305031126.779379 0.135166 0.173612
1305031119.955600 1305031115.186700 1305031120.379437 1305031114.979280 0.090124 0.052904
1305031123.195500 1305031114.965700 1305031123.382255 1305031114.979280 0.093810 0.055231
1305031127.675500 1305031116.855600 1305031127.647358 1305031116.912044 0.092275 0.024853
1305031116.385700 1305031112.105800 1305031116.411333 1305031112.611261 0.177948 0.089908
1305031116.645700 1305031110.305700 1305031116.679281 1305031110.979345 0.094391 0.146961
1305031116.025700 1305031107.365800 1305031116.143441 1305031108.043418 0.084491 0.059562
1305031121.485600 1305031125.065500 1305031121.683200 1305031125.711443 0.075494 0.051105
1305031126.465900 1305031124.035600 1305031126.411465 1305031124.147446 0.085835 0.016583
1305031125.705500 1305031126.455500 1305031125.711443 1305031126.411465 0.087660 0.022351
1305031114.975700 1305031110.495700 1305031114.979280 1305031110.979345 0.083195 0.080481
1305031123.105600 1305031124.245500 1305031123.382255 1305031124.147446 0.084242 0.045908
1305031125.615600 1305031116.455600 1305031125.711443 1305031116.411333 0.140168 0.027406
1305031127.255500 1305031116.155700 1305031127.279465 1305031116.143441 0.088160 0.028349
1305031128.645500 1305031126.265700 1305031128.179350 1305031126.411465 0.075357 0.039372
1305031122.595600 1305031108.635800 1305031121.982926 1305031108.475471 0.205831 0.153876
1305031126.065600 1305031114.785700 1305031126.079356 1305031114.711306 0.116923 0.024313
1305031116.035600 1305031110.495700 1305031116.143441 1305031110.979345 0.072806 0.122598
1305031109.865800 1305031128.175500 1305031109.311329 1305031128.179350 0.139579 0.135355
1305031122.785600 1305031126.865500 1305031123.382255 1305031126.779379 0.176499 0.133266
1305031120.705600 1305031123.905600 1305031120.379437 1305031123.711323 0.144271 0.116924
1305031124.125800 1305031109.025700 1305031124.147446 1305031109.111282 0.174627 0.022779
1305031112.905800 1305031111.055900 1305031112.611261 1305031110.979345 0.206992 0.061892
1305031115.835700 1305031114.015700 1305031116.143441 1305031114.711306 0.189270 0.303440
1305031108.005800 1305031109.475800 1305031108.043418 1305031109.311329 0.026080 0.073395
1305031121.005600 1305031108.735900 1305031120.379437 1305031108.876515 0.188782 0.123476
1305031109.535700 1305031127.165500 1305031109.311329 1305031127.279465 0.069602 0.087803
1305031120.225600 1305031110.405700 1305031120.379437 1305031110.979345 0.097864 0.128462
1305031125.025500 1305031115.805600 1305031125.711443 1305031116.143441 0.109669 0.148770
1305031111.196000 1305031110.825700 1305031110.979345 1305031110.979345 0.065516 0.053553
1305031119.815600 1305031111.305700 1305031120.379437 1305031110.979345 0.044516 0.108881
1305031121.425600 1305031125.275600 1305031121.683200 1305031125.711443 0.014547 0.031087
1305031112.765700 1305031123.035600 1305031112.611261 1305031123.382255 0.165569 0.154616
1305031125.015500 1305031123.135500 1305031125.711443 1305031123.382255 0.095022 0.072452
1305031120.525600 1305031128.365600 1305031120.379437 1305031128.179350 0.026714 0.042853
1305031123.445600 1305031114.615700 1305031123.382255 1305031114.711306 0.115674 0.043627
1305031122.535600 1305031124.605600 1305031121.982926 1305031124.147446 0.161457 0.174670
1305031127.155500 1305031126.915500 1305031127.279465 1305031126.779379 0.003436 0.016058
1305031121.235600 1305031119.796200 1305031121.683200 1305031120.379437 0.018939 0.029111
1305031109.935800 1305031114.895700 1305031109.311329 1305031114.979280 0.044592 0.164849
1305031108.665700 1305031122.445500 1305031108.475471 1305031121.982926 0.157460 0.145576
1305031120.315600 1305031108.805700 1305031120.379437 1305031108.876515 0.158837 0.025438
1305031107.345800 1305031110.605700 1305031108.043418 1305031110.979345 0.039591 0.114569
1305031115.215700 1305031107.465800 1305031114.979280 1305031108.043418 0.089421 0.097816
1305031110.855700 1305031108.515800 1305031110.979345 1305031108.475471 0.202320 0.015012
1305031126.015500 1305031112.985700 1305031126.079356 1305031112.611261 0.136191 0.072694
1305031123.985600 1305031128.045500 1305031124.147446 1305031128.179350 0.078505 0.045159
1305031109.065800 1305031113.135700 1305031109.111282 1305031112.611261 0.071705 0.083370
1305031119.745700 1305031111.555900 1305031120.379437 1305031110.979345 0.107629 0.148725
1305031107.715700 1305031120.805600 1305031108.043418 1305031120.379437 0.098009 0.099977
1305031125.595600 1305031126.355500 1305031125.711443 1305031126.411465 0.060683 0.037508
1305031117.565600 1305031110.026000 1305031116.912044 1305031109.311329 0.112841 0.100705
1305031114.335700 1305031112.215800 1305031114.711306 1305031112.611261 0.044886 0.166829
1305031109.805700 1305031128.415400 1305031109.311329 1305031128.179350 0.116094 0.117674
1305031111.695700 1305031109.515800 1305031110.979345 1305031109.311329 0.157847 0.270140
1305031119.825600 1305031125.855500 1305031120.379437 1305031125.711443 0.092014 0.012783
1305031126.275500 1305031108.335800 1305031126.411465 1305031108.475471 0.071644 0.093521
1305031108.965800 1305031127.635500 1305031108.876515 1305031127.647358 0.143542 0.035612
1305031125.735500 1305031123.305600 1305031125.711443 1305031123.382255 0.103655 0.023286
1305031124.025500 1305031116.245700 1305031124.147446 1305031116.143441 0.155959 0.042500
1305031120.305600 1305031122.975500 1305031120.379437 1305031123.382255 0.146100 0.089565
1305031122.915600 1305031121.495600 1305031123.382255 1305031121.683200 0.055296 0.075957
1305031128.475500 1305031121.165600 1305031128.179350 1305031121.683200 0.046780 0.038571
1305031114.825700 1305031116.715700 1305031114.711306 1305031116.679281 0.183124 0.023005
1305031123.535600 1305031113.225700 1305031123.382255 1305031112.611261 0.109154 0.075175
1305031122.495600 1305031110.415700 1305031121.982926 1305031110.979345 0.088233 0.225819
1305031116.355700 1305031124.295500 1305031116.411333 1305031124.147446 0.108114 0.053089
1305031127.045500 1305031107.745800 1305031127.279465 1305031108.043418 0.100823 0.050134
1305031111.005700 1305031123.065600 1305031110.979345 1305031123.382255 0.085253 0.089979
1305031111.095700 1305031117.115900 1305031110.979345 1305031116.912044 0.055097 0.204767
1305031115.235700 1305031109.165700 1305031114.979280 1305031109.111282 0.123780 0.080555
1305031110.265800 1305031122.055600 1305031110.979345 1305031121.982926 0.101075 0.177286
1305031117.065700 1305031112.775700 1305031116.912044 1305031112.611261 0.169516 0.203332
1305031117.425700 1305031122.415600 1305031116.912044 1305031121.982926 0.102037 0.167869
1305031122.745600 1305031126.265700 1305031123.382255 1305031126.411465 0.088279 0.100883
1305031123.065600 1305031114.335700 1305031123.382255 1305031114.711306 0.050684 0.130400
1305031122.225500 1305031112.095800 1305031121.982926 1305031112.611261 0.099298 0.083072
1305031121.455600 1305031112.425700 1305031121.683200 1305031112.611261 0.067759 0.114449
1305031113.345700 1305031125.795500 1305031112.611261 1305031125.711443 0.071957 0.112818
