rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031124.095500 1305031121.495600 1305031124.211396 1305031121.583204 0.023904 0.049936
1305031111.375700 1305031106.425800 1305031111.179326 1305031106.511129 0.078271 0.042169
1305031114.095700 1305031110.905800 1305031114.043301 1305031110.679606 0.010257 0.021910
1305031122.275900 1305031107.755800 1305031122.314289 1305031107.575454 0.041761 0.019003
1305031113.055700 1305031116.265700 1305031113.079251 1305031116.443369 0.056838 0.060185
1305031107.115800 1305031121.435900 1305031107.575454 1305031121.583204 0.129543 0.143463
1305031117.315600 1305031106.175800 1305031116.779298 1305031106.143355 0.206893 0.299350
1305031107.965800 1305031120.655600 1305031108.011320 1305031120.415445 0.061583 0.096088
1305031112.925700 1305031101.685800 1305031113.079251 1305031102.175304 0.155819 0.063546
1305031111.785800 1305031117.085700 1305031111.179326 1305031116.779298 0.394881 0.446740
1305031113.075700 1305031124.715500 1305031113.079251 1305031124.211396 0.200566 0.123195
1305031106.475800 1305031122.915600 1305031106.511129 1305031123.311327 0.149722 0.069918
1305031120.355600 1305031110.725700 1305031120.415445 1305031110.679606 0.041312 0.016055
1305031123.505500 1305031118.805600 1305031123.683753 1305031118.879208 0.018512 0.044080
1305031124.785500 1305031105.975800 1305031124.211396 1305031106.143355 0.210095 0.107667
1305031108.415700 1305031124.875600 1305031108.443610 1305031124.211396 0.238074 0.152041
1305031104.396400 1305031115.785700 1305031104.611336 1305031116.080030 0.151213 0.146862
1305031122.855600 1305031112.195700 1305031123.311327 1305031112.411442 0.176638 0.131380
1305031101.935900 1305031115.295600 1305031102.175304 1305031115.111230 0.091478 0.056604
1305031119.955600 1305031115.186700 1305031119.879214 1305031115.111230 0.040112 0.024468
1305031123.195500 1305031114.965700 1305031123.311327 1305031115.111230 0.053259 0.023131
1305031116.385700 1305031112.105800 1305031116.443369 1305031112.411442 0.131289 0.095078
1305031116.645700 1305031110.305700 1305031116.779298 1305031110.679606 0.082157 0.076837
1305031116.025700 1305031107.365800 1305031116.080030 1305031107.575454 0.038670 0.034396
1305031104.346000 1305031104.265800 1305031104.611336 1305031104.611336 0.027701 0.023115
1305031117.145700 1305031118.455600 1305031116.779298 1305031118.511255 0.173728 0.267485
1305031113.055700 1305031101.355900 1305031113.079251 1305031102.175304 0.101891 0.023205
1305031114.975700 1305031110.495700 1305031115.111230 1305031110.679606 0.108571 0.054254
1305031119.915500 1305031106.925800 1305031119.879214 1305031106.511129 0.168939 0.113059
1305031123.105600 1305031124.245500 1305031123.311327 1305031124.211396 0.051195 0.053308
1305031112.275700 1305031118.565700 1305031112.411442 1305031118.511255 0.056166 0.035763
1305031117.145700 1305031113.356000 1305031116.779298 1305031113.443266 0.235961 0.291939
1305031117.665600 1305031124.115500 1305031118.179323 1305031124.211396 0.155134 0.050818
1305031105.955800 1305031120.705600 1305031106.143355 1305031120.415445 0.109050 0.073893
1305031102.175800 1305031105.275800 1305031102.175304 1305031104.775327 0.096859 0.093426
1305031122.595600 1305031108.635800 1305031122.314289 1305031108.711411 0.099827 0.068267
1305031123.235600 1305031101.675900 1305031123.311327 1305031102.175304 0.118185 0.083615
1305031103.055800 1305031119.696300 1305031103.143318 1305031119.547382 0.061997 0.041572
1305031117.805600 1305031116.955700 1305031118.179323 1305031116.779298 0.145010 0.117492
